commodity,province,MAPE,MAE,samples
Cabai Merah Keriting,Sumatera Barat,3.8345468690529607,1795.8353836287313,1004
Cabai Merah Keriting,Sumatera Selatan,2.5133449282431557,1160.4646785603234,1004
Cabai Merah Keriting,Sumatera Utara,2.8344035863168626,1164.1712628264925,1004
Cabai Rawit Merah,Aceh,4.86963794875198,1757.3476854011194,1004
Cabai Rawit Merah,Bali,3.2862362420315363,1485.0412293998756,1004
Cabai Rawit Merah,Banten,3.6798154013517,1930.3922185945273,1004
Cabai Rawit Merah,Bengkulu,2.971658500594233,1543.757715329602,1004
Cabai Rawit Merah,DI Yogyakarta,4.230738825619358,1769.8427782960198,1004
Cabai Rawit Merah,DKI Jakarta,3.8448277657474583,2426.0005052860697,1004
Cabai Rawit Merah,Gorontalo,5.928676478542787,2909.8143462375624,1004
Cabai Rawit Merah,Jambi,2.6089402609437737,1353.3123833955224,1004
Cabai Rawit Merah,Jawa Barat,2.411084028014108,1329.8220421330846,1004
Cabai Rawit Merah,Jawa Tengah,2.8738161189670284,1219.1118819962687,1004
Cabai Rawit Merah,Jawa Timur,3.3488034771880857,1447.309614039179,1004
Cabai Rawit Merah,Kalimantan Barat,2.047018305529276,1432.3367537313434,1004
Cabai Rawit Merah,Kalimantan Selatan,3.291786419101654,1949.4132074004974,1004
Cabai Rawit Merah,Kalimantan Tengah,1.9226605492187399,1374.2270677860697,1004
Cabai Rawit Merah,Kalimantan Timur,4.7832255765504215,2740.5235735385572,1004
Cabai Rawit Merah,Kalimantan Utara,3.4357963070198783,2861.0782416044776,1004
